,,type,qualitytype,qualityvalue,corr
0,0,stress_ppg_not_weighted,mean,$\ge$0.0,0.78$\pm$0.19
1,0,stress_ppg_weighted,mean,$\ge$0.0,0.85$\pm$0.17
2,0,stress_ppg_not_weighted,mean,$\ge$0.05,0.78$\pm$0.19
3,0,stress_ppg_weighted,mean,$\ge$0.05,0.85$\pm$0.17
4,0,stress_ppg_not_weighted,mean,$\ge$0.1,0.78$\pm$0.19
5,0,stress_ppg_weighted,mean,$\ge$0.1,0.85$\pm$0.17
6,0,stress_ppg_not_weighted,mean,$\ge$0.15000000000000002,0.78$\pm$0.19
7,0,stress_ppg_weighted,mean,$\ge$0.15000000000000002,0.83$\pm$0.17
8,0,stress_ppg_not_weighted,mean,$\ge$0.2,0.79$\pm$0.18
9,0,stress_ppg_weighted,mean,$\ge$0.2,0.85$\pm$0.16
10,0,stress_ppg_not_weighted,mean,$\ge$0.25,0.79$\pm$0.19
11,0,stress_ppg_weighted,mean,$\ge$0.25,0.86$\pm$0.15
12,0,stress_ppg_not_weighted,mean,$\ge$0.30000000000000004,0.82$\pm$0.20
13,0,stress_ppg_weighted,mean,$\ge$0.30000000000000004,0.86$\pm$0.18
14,0,stress_ppg_not_weighted,mean,$\ge$0.35000000000000003,0.83$\pm$0.19
15,0,stress_ppg_weighted,mean,$\ge$0.35000000000000003,0.89$\pm$0.17
16,0,stress_ppg_not_weighted,mean,$\ge$0.4,0.84$\pm$0.10
17,0,stress_ppg_weighted,mean,$\ge$0.4,0.92$\pm$0.09
18,0,stress_ppg_not_weighted,mean,$\ge$0.45,0.87$\pm$0.14
19,0,stress_ppg_weighted,mean,$\ge$0.45,0.90$\pm$0.15
20,0,stress_ppg_not_weighted,mean,$\ge$0.5,0.82$\pm$0.16
21,0,stress_ppg_weighted,mean,$\ge$0.5,0.84$\pm$0.16
22,0,stress_ppg_not_weighted,mean,$\ge$0.55,0.81$\pm$0.19
23,0,stress_ppg_weighted,mean,$\ge$0.55,0.84$\pm$0.18
24,0,stress_ppg_not_weighted,mean,$\ge$0.6000000000000001,0.84$\pm$0.18
25,0,stress_ppg_weighted,mean,$\ge$0.6000000000000001,0.81$\pm$0.16
26,0,stress_ppg_not_weighted,mean,$\ge$0.65,0.90$\pm$0.17
27,0,stress_ppg_weighted,mean,$\ge$0.65,0.87$\pm$0.18
28,0,stress_ppg_not_weighted,mean,$\ge$0.7000000000000001,0.91$\pm$0.18
29,0,stress_ppg_weighted,mean,$\ge$0.7000000000000001,0.91$\pm$0.19
30,0,stress_ppg_not_weighted,mean,$\ge$0.75,0.75$\pm$0.21
31,0,stress_ppg_weighted,mean,$\ge$0.75,0.77$\pm$0.19
32,0,stress_ppg_not_weighted,mean,$\ge$0.8,0.68$\pm$0.18
33,0,stress_ppg_weighted,mean,$\ge$0.8,0.70$\pm$0.19
