,,corr,yield,kl,Corr,KL,Yield,quality,activity,hand
0,0,0.4767168151976871,595.0,0.19388979003208884,0.48$\pm$0.21,0.19$\pm$0.04,595$\pm$154,>=0.0,<=0.3155g,left
1,0,0.3923263630761377,622.5,0.20440069097925423,0.39$\pm$0.21,0.20$\pm$0.04,622$\pm$151,>=0.0,<=0.3155g,right
2,0,0.4865574815755809,562.5,0.18964484438738782,0.49$\pm$0.22,0.19$\pm$0.04,562$\pm$146,>=0.05,<=0.3155g,left
3,0,0.4074774429046355,592.0,0.20185071041452238,0.41$\pm$0.21,0.20$\pm$0.04,592$\pm$144,>=0.05,<=0.3155g,right
4,0,0.5346709905000664,401.0,0.17952066374384143,0.53$\pm$0.23,0.18$\pm$0.05,401$\pm$140,>=0.1,<=0.3155g,left
5,0,0.44259716438013363,439.0,0.19366081285348807,0.44$\pm$0.23,0.19$\pm$0.04,439$\pm$134,>=0.1,<=0.3155g,right
6,0,0.5982567344809455,275.0,0.1653242412201253,0.60$\pm$0.22,0.17$\pm$0.05,275$\pm$112,>=0.15,<=0.3155g,left
7,0,0.5043402856569089,283.0,0.17925097163986115,0.50$\pm$0.24,0.18$\pm$0.05,283$\pm$111,>=0.15,<=0.3155g,right
8,0,0.6325206090021847,193.0,0.15125912867882238,0.63$\pm$0.20,0.15$\pm$0.05,193$\pm$98,>=0.2,<=0.3155g,left
9,0,0.5763154757209275,195.0,0.16194789649885372,0.58$\pm$0.23,0.16$\pm$0.05,195$\pm$100,>=0.2,<=0.3155g,right
10,0,0.6916352749659153,160.0,0.13606034445019083,0.69$\pm$0.18,0.14$\pm$0.05,160$\pm$92,>=0.25,<=0.3155g,left
11,0,0.63725860177774,157.0,0.1520331779569573,0.64$\pm$0.22,0.15$\pm$0.05,157$\pm$88,>=0.25,<=0.3155g,right
12,0,0.7041740129829726,141.0,0.12783258459424574,0.70$\pm$0.18,0.13$\pm$0.05,141$\pm$87,>=0.3,<=0.3155g,left
13,0,0.6586997392605962,135.5,0.14169716893784856,0.66$\pm$0.21,0.14$\pm$0.05,136$\pm$77,>=0.3,<=0.3155g,right
14,0,0.7383422900289095,127.0,0.11752649963213505,0.74$\pm$0.18,0.12$\pm$0.05,127$\pm$82,>=0.35,<=0.3155g,left
15,0,0.7064725458947226,125.0,0.12365039778020108,0.71$\pm$0.19,0.12$\pm$0.05,125$\pm$70,>=0.35,<=0.3155g,right
16,0,0.7568687808212796,124.0,0.10995088491640907,0.76$\pm$0.18,0.11$\pm$0.05,124$\pm$74,>=0.4,<=0.3155g,left
17,0,0.7308276348615765,111.5,0.11510561142973719,0.73$\pm$0.19,0.12$\pm$0.05,112$\pm$66,>=0.4,<=0.3155g,right
18,0,0.7556738895737297,112.5,0.10194960936795631,0.76$\pm$0.19,0.10$\pm$0.04,112$\pm$66,>=0.45,<=0.3155g,left
19,0,0.7540409985019928,105.0,0.10585708343568176,0.75$\pm$0.17,0.11$\pm$0.04,105$\pm$66,>=0.45,<=0.3155g,right
20,0,0.7676164383226708,107.0,0.09503050882199342,0.77$\pm$0.23,0.10$\pm$0.04,107$\pm$63,>=0.5,<=0.3155g,left
21,0,0.7540724700112935,98.0,0.10196667979092658,0.75$\pm$0.18,0.10$\pm$0.04,98$\pm$61,>=0.5,<=0.3155g,right
22,0,0.7706815635269707,104.5,0.09305011438585499,0.77$\pm$0.20,0.09$\pm$0.04,104$\pm$61,>=0.55,<=0.3155g,left
23,0,0.7736543298959898,90.0,0.09697286800593939,0.77$\pm$0.18,0.10$\pm$0.04,90$\pm$57,>=0.55,<=0.3155g,right
24,0,0.7761665778061714,102.0,0.08617784604407012,0.78$\pm$0.23,0.09$\pm$0.04,102$\pm$59,>=0.6,<=0.3155g,left
25,0,0.7615516141616044,85.0,0.09423497410077065,0.76$\pm$0.19,0.09$\pm$0.04,85$\pm$58,>=0.6,<=0.3155g,right
26,0,0.7761945725159136,91.0,0.0798224072674622,0.78$\pm$0.26,0.08$\pm$0.03,91$\pm$56,>=0.65,<=0.3155g,left
27,0,0.759396716518108,84.5,0.08835624706332312,0.76$\pm$0.19,0.09$\pm$0.04,84$\pm$54,>=0.65,<=0.3155g,right
28,0,0.7602876150765563,87.0,0.0734679816784928,0.76$\pm$0.29,0.07$\pm$0.03,87$\pm$54,>=0.7,<=0.3155g,left
29,0,0.7632645213513619,82.0,0.08497760948671772,0.76$\pm$0.19,0.08$\pm$0.04,82$\pm$50,>=0.7,<=0.3155g,right
30,0,0.7709048312386821,89.0,0.07333855304275355,0.77$\pm$0.27,0.07$\pm$0.03,89$\pm$48,>=0.75,<=0.3155g,left
31,0,0.7509815138124175,78.5,0.08599506305844959,0.75$\pm$0.18,0.09$\pm$0.03,78$\pm$49,>=0.75,<=0.3155g,right
32,0,0.7713264738814509,78.5,0.0730874434484965,0.77$\pm$0.24,0.07$\pm$0.03,78$\pm$40,>=0.8,<=0.3155g,left
33,0,0.6999067137693807,79.0,0.08054672774960964,0.70$\pm$0.23,0.08$\pm$0.03,79$\pm$49,>=0.8,<=0.3155g,right
